ID,VIDEO_ID,TITLE,PUBLISHEDAT,CHANNELID,CHANNELTITLE,CATEGORYID,CATEGORY_TITLE,TRENDING_DATE,VIEW_COUNT,LIKES,DISLIKES,COMMENT_COUNT,COMMENTS_DISABLED,COUNTRY
d83c7536-2084-4e65-b61d-cb3cf2f7d4f4,H7TCtwnmApU,Речь Алексея Навального в суде 28 января,2021-01-28,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-01-31,8203230,665047,27290,89978,FALSE,RU
d21f88ab-ca4b-4715-aa8b-9e36bf59fd45,uY5jQJOTV_0,VIDEO IMPORTANTE (Gracias por verlo),2020-10-01,UCYiGq8XF7YQD00x7wAd62Zg,JuegaGerman,29,Nonprofits & Activism,2020-10-03,3980813,1126028,4843,89612,FALSE,MX
aaddb605-fab4-4b74-b9e8-e966d541aded,H7TCtwnmApU,Речь Алексея Навального в суде 28 января,2021-01-28,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-01-30,7526987,641048,24870,85475,FALSE,RU
7f7cebb3-51e0-4891-a988-8324e3fb1107,nIQSS7_44wQ,Финальная битва между добром и нейтралитетом,2021-04-18,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-04-19,2650915,371289,16548,82737,FALSE,RU
fe4030ba-50bc-4d79-9b76-488d73fd22e4,uY5jQJOTV_0,VIDEO IMPORTANTE (Gracias por verlo),2020-10-01,UCYiGq8XF7YQD00x7wAd62Zg,JuegaGerman,29,Nonprofits & Activism,2020-10-02,2744442,898840,3089,79743,FALSE,MX
8a8af835-860b-42ae-a8f9-dcbf3461ad18,IYD-0XqDazQ,"ЦРУ, Ротенберг и ёршик. Как пропагандисты отмазывают Путина",2021-02-12,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-02-16,6005342,600445,22272,75294,FALSE,RU
d3a16bb6-81cb-48d7-94d1-ab9397c789f7,IYD-0XqDazQ,"ЦРУ, Ротенберг и ёршик. Как пропагандисты отмазывают Путина",2021-02-12,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-02-15,5756368,586414,21386,73275,FALSE,RU
81884da2-c5a5-4074-a0ba-79cbc36a9a20,OjYl1xvssJY,Золотое безумие. Реальные фотографии дворца Путина,2022-01-20,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2022-01-24,7188303,541576,0,71717,FALSE,RU
81c5de61-53e8-4926-9b55-e7a98ba84abb,H7TCtwnmApU,Речь Алексея Навального в суде 28 января,2021-01-28,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-01-29,5893921,567868,17733,71294,FALSE,RU
3d01e7eb-10e4-47d5-8ef3-8f8b3f07e9be,hx48jaOroRQ,Кто захватил столицу Сибири и как её освободить,2020-08-31,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2020-09-03,4332354,410181,10480,70573,FALSE,RU
a459178e-bf49-4d6d-893e-472e3a268501,IYD-0XqDazQ,"ЦРУ, Ротенберг и ёршик. Как пропагандисты отмазывают Путина",2021-02-12,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-02-14,5382171,565230,20179,70083,FALSE,RU
75e92ea3-82e1-4024-944e-a6042db0c3d6,OjYl1xvssJY,Золотое безумие. Реальные фотографии дворца Путина,2022-01-20,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2022-01-23,6149589,496515,0,67104,FALSE,RU
04f1503a-82ff-4c13-bf9e-682f5da23f6f,hx48jaOroRQ,Кто захватил столицу Сибири и как её освободить,2020-08-31,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2020-09-02,3889998,385173,9604,66666,FALSE,RU
37c0b2a8-cdb9-4e33-b785-c77b7d74c83f,WGYYI1zhp2Y,Где Навальный? Тюремный ад для главного врага Путина,2021-03-01,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-03-05,4616766,380456,18413,64893,FALSE,RU
d2a2dc9e-fd60-456d-ac2b-eb71bcd83fc1,WGYYI1zhp2Y,Где Навальный? Тюремный ад для главного врага Путина,2021-03-01,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-03-04,4386864,371848,17690,63380,FALSE,RU
73731ec3-30ce-47a1-98c5-56f9318c4cf8,IYD-0XqDazQ,"ЦРУ, Ротенберг и ёршик. Как пропагандисты отмазывают Путина",2021-02-12,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-02-13,4528513,511742,16826,61171,FALSE,RU
76bb7f1c-b388-485b-afde-2b3fffb627fc,WGYYI1zhp2Y,Где Навальный? Тюремный ад для главного врага Путина,2021-03-01,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-03-03,4040263,357696,16466,60329,FALSE,RU
e560b28e-9f3e-461f-9bff-791016d67cf7,OjYl1xvssJY,Золотое безумие. Реальные фотографии дворца Путина,2022-01-20,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2022-01-22,4960348,428696,0,59372,FALSE,RU
5ea3309d-d9c3-44bb-b5d2-10caa3588a7a,Cs1b5qvCZ54,Тайна валдайской дачи Путина,2021-04-15,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-04-19,5327343,460634,21064,57423,FALSE,RU
b1c2c11e-59aa-4d5f-a4ad-4134719d9456,ThjrXToqqpw,Как освободить Навального. Наш план,2021-03-23,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2021-03-26,2330119,286575,15677,57214,FALSE,RU
facf245c-a4d8-4488-98e5-fb1a58deddc9,5pMl6InVBlA,"Привет, это Навальный",2020-10-08,UCsAw3WynQJMm7tMy093y37A,Алексей Навальный,29,Nonprofits & Activism,2020-10-11,2615531,437127,14896,56256,FALSE,RU
